"A_1"	"A_2"	"A_3"	"A_4"	"A_5"	"B_1"	"B_2"	"B_3"	"B_4"	"B_5"
"ABCA8"	0.494197	0.503276	0.479781	0.443367	0.532827	6.56618	6.65318	6.72361	6.48977	6.45897
"ABCA9"	0.0101022	0.00782155	0	0.0218933	0.00734436	1.10244	1.15325	1.23919	1.04011	1.16188
"ABCB1"	1.3646	1.30913	1.21189	1.23591	1.26171	4.33961	4.32693	4.5619	4.25045	4.06118
"ABCB10"	9.35009	8.02886	8.24632	8.78715	9.03974	4.2621	4.08482	4.28811	4.4342	4.48148
"ABCB11"	0.0166024	0.00780888	0.0271611	0.00388564	0.00978159	0.00441208	0.00632661	0	0.00251784	0.00765832
"ABCB4"	0.844738	0.722569	0.789698	0.856803	0.737793	0.0600105	0.0959029	0.084662	0.0602582	0.0759257
"ABCB5"	2.81221	2.22189	2.40126	2.41589	2.41105	0	0	0	0	0
"ABCB6"	17.5248	19.0957	19.124	18.1904	19.5342	8.21858	9.08159	8.46279	8.89197	8.29138
"ABCB7"	14.2467	12.8972	12.8537	13.7145	13.1827	4.27487	4.09383	4.0695	4.23144	4.50672
"ABCB8"	3.60334	5.24204	5.07962	3.90135	6.79892	6.04596	6.2737	5.96154	5.7678	6.52509
"ABCB9"	1.3029	1.65491	1.65254	1.50422	2.1445	4.88098	4.94404	4.71389	4.73158	5.69378
"ABCC1"	17.2786	19.6547	17.9628	17.0997	18.0778	2.17054	2.24787	2.29822	2.25637	1.99694
"ABCC10"	3.36327	4.19383	4.15517	3.70443	4.57818	3.37569	3.39276	3.68216	3.56953	3.45996
"ABCC11"	0.0619641	0.0680112	0.101381	0.0913722	0.0681602	0.212102	0.189551	0.1835	0.192105	0.140075
"ABCC12"	0.00218578	0.0023984	0.00357532	0	0.00300381	0.390318	0.40611	0.366398	0.44193	0.433946
"ABCC13"	0.00821289	0.0193669	0	0.00336897	0	0.0156243	0.014632	0.00367083	0.036143	0.00664501
"ABCC2"	14.8493	14.0537	13.6828	13.3657	13.8647	0.116566	0.107442	0.125726	0.10452	0.158954
"ABCC3"	3.96468	4.60841	4.0849	4.08396	4.75014	0.185976	0.143856	0.15106	0.189853	0.128097
"ABCC4"	7.30681	6.86962	6.89912	6.9606	7.75881	0.692918	0.663711	0.730917	0.632763	0.720993
"ABCC5"	9.37819	9.1534	8.86011	9.30596	9.18003	22.4596	23.4001	23.776	23.2409	22.0048
"ABCC6"	4.20886	4.16353	4.18051	3.58234	3.81142	0.275764	0.312818	0.205762	0.237954	0.21419
"ABCC6P1"	2.41264	2.13829	2.46422	2.27545	2.52102	0.0873623	0.0950283	0.0724776	0.0817232	0.0943722
"ABCC6P2"	2.07801	2.18502	1.4892	1.72509	1.83598	0.233253	0.183619	0.336737	0.0974182	0.153755
"ABCC8"	0.0545259	0.0498625	0.0594636	0.0353563	0.0468402	11.4106	11.8516	11.1975	10.8012	9.94248
"ABCC9"	2.3173	1.997	2.24629	2.21323	1.92146	3.05772	2.86654	3.08442	2.96205	2.97724
"ABCD1"	3.29791	4.9803	4.58579	3.72723	7.03356	0.589835	0.583604	0.630105	0.633844	0.78734
"ABCD2"	0.107755	0.0695462	0.10713	0.0968981	0.0929022	3.3926	3.22662	3.32286	2.99561	3.56341
"ABCD3"	15.5685	13.9574	15.4826	15.5585	16.4896	9.44117	9.29851	9.54515	9.56766	10.9527
"ABCD4"	8.55372	8.78032	8.26397	8.06484	7.59777	5.89459	6.38119	6.15601	6.42691	5.37154
"ABCE1"	32.4053	28.2976	30.8605	31.8979	31.8329	9.93169	9.63681	10.6817	9.62468	10.9121
"ABCF1"	41.9248	43.2449	41.6687	43.1931	40.2329	11.8426	12.0384	11.8013	11.7945	11.7589
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"ABCF1"	0	0	0	0	0	0	0	0	0	0
"ABCF2"	27.2447	28.8761	27.604	27.6175	26.3666	14.7723	15.059	14.2807	14.4689	13.1975
"ABCF3"	16.398	18.7602	17.83	17.4741	16.3112	20.7984	22.4201	21.3533	21.9363	17.2033
"ABCG1"	6.64382	7.19392	6.80507	6.69429	7.10446	7.20714	7.21129	7.12954	7.26081	7.12354
"ABCG2"	2.06293	1.79748	1.83657	1.92527	1.91715	5.40632	5.28739	5.55292	5.23819	5.76474
"ABCG4"	0.180743	0.174137	0.166112	0.215742	0.178989	8.39187	8.81263	8.42795	8.61964	7.16209
"ABCG5"	1.13207	1.14213	1.22966	1.11326	1.34525	0.0434102	0.0566623	0.0492811	0.0631667	0.0548982
"ABCG8"	0.471606	0.585813	0.565301	0.537501	0.48804	0.162582	0.167311	0.183528	0.134779	0.0848236
"ABHD1"	0.259084	0.356392	0.223488	0.349821	0.277556	0.31675	0.258485	0.343713	0.336298	0.304179
"ABHD10"	12.079	10.4064	10.8606	12.1493	11.8005	13.6617	13.569	13.85	14.1314	15.5333
"ABHD11"	10.6716	12.826	11.1892	11.7339	12.3238	4.94597	5.6973	5.25553	5.61993	6.41647
"ABHD11-AS1"	0.622814	0.70575	0.58164	0.350141	0.657331	0.130265	0.031854	0.0322361	0	0.0583526
"ABHD12"	26.8366	30.3962	29.4142	28.2421	31.2244	40.5329	41.1613	41.7103	40.0824	42.2029
"ABHD12B"	0.165903	0.183135	0.12274	0.198098	0.126823	1.13351	1.3996	1.35724	1.36808	1.44863
"ABHD13"	3.07833	2.57407	2.68466	2.67796	3.20318	3.18174	3.05622	3.53223	3.22849	3.83788
"ABHD14A"	6.41372	8.65886	8.39113	7.27687	8.81754	29.3246	32.2257	31.2242	30.3784	32.4167
"ABHD14A-ACY1"	3.14103	3.43532	2.4778	3.64901	1.2108	3.34825	2.85393	3.06485	2.93986	1.44499
"ABHD14B"	21.5673	25.9152	23.548	23.7433	24.8278	4.23509	4.77305	4.64845	4.5713	4.1339
"ABHD15"	3.26033	3.50658	3.16833	3.43696	3.75017	0.713808	0.737742	0.734075	0.804564	0.891432
"ABHD16A"	15.0585	18.2377	17.2267	16.6502	16.7482	23.2615	24.4231	23.6891	23.8162	21.8177
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"ABHD16A"	0	0	0	0	0	0	0	0	0	0
"ABHD16B"	0.784589	0.961698	1.02173	0.78427	4.46205	0.472591	0.344405	0.412601	0.411595	1.51575
"ABHD2"	10.8917	10.2909	10.6929	9.74897	11.1486	15.6792	15.6592	16.2089	15.7071	15.8177
"ABHD3"	15.1086	12.8992	13.7641	15.3858	14.1795	4.10181	3.95601	4.48605	4.23077	4.7588
"ABHD4"	13.2425	14.2022	13.2493	12.943	12.2585	7.32105	7.68625	7.44355	7.26287	6.28104
"ABHD5"	4.23912	3.50858	3.6271	3.94291	4.03477	2.86426	2.95308	3.09153	3.0267	3.11969
"ABHD6"	5.1892	5.01671	4.92209	5.20322	4.38345	17.8834	18.5014	18.4627	18.0407	17.6846
"ABHD8"	1.7789	2.62604	2.58366	2.11307	7.89846	14.4979	14.3058	13.0627	14.5739	31.9324
"ABI1"	13.5835	12.5315	12.1008	13.5561	12.9419	18.117	17.9404	18.1801	18.0504	18.6569
"ABI2"	13.2	12.001	12.4288	12.5792	13.3796	26.1785	25.4807	26.7419	25.7896	27.2701
"ABI3"	0.373716	0.469421	0.515361	0.410186	0.520758	1.26952	1.20133	1.19095	1.15539	1.27428
"ABI3BP"	1.18003	0.966577	1.04635	1.06032	1.10973	0.663307	0.627394	0.688188	0.700589	0.72534
"ABL1"	15.6523	19.9544	18.7429	16.1088	23.6685	8.6458	8.71776	8.66792	8.54304	9.08269
"ABL2"	3.70591	3.60138	3.76843	3.61694	3.84404	3.75499	3.87502	3.97132	3.83137	3.56258
"ABLIM1"	10.0757	9.05824	9.54656	9.12473	10.6324	68.0902	68.1524	68.3139	66.1855	70.7307
"ABLIM2"	0.361029	0.323205	0.414812	0.432399	0.393009	14.5115	15.4983	14.4444	14.4892	13.6247
"ABLIM3"	5.61267	5.51666	5.72235	5.56515	5.19195	16.4017	16.4328	16.4114	16.2926	14.6997
"ABO"	0.63913	0.790057	0.797181	0.51336	1.27221	0.186584	0.158374	0.165998	0.205772	0.237887
"ABP1"	0.110913	0.180373	0.142295	0.102929	0.166486	0	0	0	0	0
"ABR"	10.8391	14.5746	13.4084	11.6182	14.3371	58.5673	61.6971	59.7274	59.4819	54.5958
"ABRA"	0.0168684	0.0231827	0.00690968	0.0069202	0.0232685	0.105977	0.0976829	0.165893	0.161548	0.0955512
"ABT1"	9.06367	10.7302	10.0877	9.25809	12.6331	3.59738	4.07181	3.89639	3.85058	4.54209
"ABTB1"	3.46281	4.31469	4.29111	3.48482	5.52008	29.3327	29.635	29.3003	29.1704	33.9527
"ABTB2"	2.53859	2.63645	2.66915	2.48483	3.4038	2.50067	2.64074	2.35443	2.43994	2.5334
"ACAA1"	24.1731	27.1782	24.7868	25.4467	22.8761	23.873	25.5422	23.6656	24.8467	21.8371
"ACAA2"	34.4175	31.5285	32.7376	34.2449	30.7554	10.5441	10.5521	10.8655	10.9326	10.9693
"ACACA"	10.045	10.294	9.74103	9.66543	10.1946	10.0633	10.2536	10.3998	10.0824	9.82258
"ACACB"	1.12764	1.24406	1.30151	1.08934	1.19485	2.55153	2.71854	2.62191	2.57448	2.19642
"ACAD10"	5.91119	6.12247	5.78058	5.54177	6.09989	2.39601	2.76382	2.39273	2.45981	2.43052
"ACAD11"	8.28724	7.50604	7.3141	7.89351	7.65816	5.01637	4.843	5.31632	4.80323	4.54647
"ACAD8"	11.1816	11.529	10.5882	11.3312	10.9389	10.6611	10.4422	10.7413	10.2316	8.84057
"ACAD9"	13.1019	15.0825	14.0426	13.853	14.559	9.13259	9.59055	9.51056	9.70523	9.20221
"ACADL"	0.0281652	0.0877795	0.0538611	0.0577979	0.0518476	0.375811	0.460262	0.449348	0.504818	0.463724
"ACADM"	24.4371	21.1766	21.8729	23.3511	23.4483	13.4222	13.7728	14.9124	13.6674	14.8086
"ACADS"	2.88079	4.61981	4.04385	3.42655	7.96854	2.5268	2.73865	2.84461	2.70167	4.07908
"ACADSB"	7.19981	6.51755	6.80675	6.75572	6.98761	8.06211	7.78522	8.42228	7.90575	8.20675
"ACADVL"	108.396	120.012	115.429	113.287	105.847	52.0965	54.607	51.5512	53.1473	48.8972
"ACAN"	0.0873268	0.0638782	0.0640887	0.080716	0.0750806	0.345508	0.326411	0.370152	0.354251	0.339618
"ACAP1"	1.49996	1.75234	1.98518	1.65561	2.37301	0.212483	0.203449	0.233362	0.247986	0.271566
"ACAP2"	7.89986	6.99654	7.17003	7.23353	8.64107	4.67781	4.65934	5.07186	4.70893	5.45587
"ACAP3"	6.44317	8.50504	7.95856	6.83617	16.72	25.5448	25.5566	24.1342	25.5861	43.6754
"ACAT1"	37.7149	33.1126	35.7443	39.2037	35.5675	14.8813	14.7961	16.0765	15.4813	16.3478
"ACAT2"	56.7287	53.284	52.0784	57.1237	51.1414	18.483	19.4565	18.9859	18.7902	18.2892
"ACBD3"	16.6439	14.8008	15.3786	16.4549	17.5268	9.14068	8.543	9.15912	8.73986	9.37565
"ACBD4"	4.31494	5.39172	5.39101	4.78225	6.46979	5.51761	5.37692	5.44905	5.94466	7.14036
"ACBD5"	8.54122	8.04671	8.73029	8.29205	8.79549	13.8978	13.9508	14.1464	14.2054	15.2821
"ACBD6"	23.8126	23.9201	25.0605	26.5245	28.6961	10.239	9.18136	10.6035	10.9396	12.7
"ACBD7"	2.79175	2.96214	3.02512	3.30907	2.41795	16.4423	16.2468	17.1516	17.2768	14.2952
"ACCN1"	0.0302654	0.0332791	0.0545876	0.0338995	0.0413237	6.50798	6.97229	6.48886	6.32515	7.14812
"ACCN2"	3.2223	3.72654	3.8046	3.71304	3.37426	13.656	13.7719	12.7975	13.1243	11.1803
"ACCN3"	1.54233	1.93453	1.72146	1.77699	2.41817	4.81153	4.863	4.57282	5.02186	5.78696
"ACCN4"	1.0599	1.5623	1.40238	1.2212	1.84684	1.93714	2.18731	2.04981	1.93814	2.27814
"ACCN5"	0.0285348	0.0157314	0	0.00586841	0	0	0	0.0128055	0	0
"ACCS"	2.79688	3.23564	2.78394	3.05051	2.98141	0.807415	0.765658	0.742423	0.845323	0.554759
"ACCSL"	0	0	0.0108104	0.00541421	0.00912309	0.00613415	0.0352876	0.00590576	0.0281134	0.0213813
"ACD"	8.30287	11.7729	11.3174	9.52891	14.145	7.65708	8.06901	7.41118	7.62998	9.36101
"ACE"	1.00902	1.25082	1.16196	1.04239	1.61317	0.947026	1.04828	1.04001	1.02702	1.26499
"ACE2"	0.163468	0.111327	0.192693	0.187615	0.126053	0.0395448	0.0232779	0.0496278	0.0416965	0.0422766
"ACER1"	0	0	0	0.0194272	0	0.0329254	0.0422443	0.0530992	0.050542	0.0192237
"ACER2"	0.768056	0.777311	0.765626	0.676772	0.885441	1.08926	1.11853	1.09701	1.08086	1.0784
"ACER3"	4.43805	3.80441	4.31728	4.30541	4.57944	5.7721	5.45	5.95044	5.68328	6.07789
"ACHE"	0.316826	0.498913	0.341835	0.316407	0.879548	9.74047	9.39896	9.54352	9.89427	14.5275
"ACIN1"	54.4215	59.3912	57.3881	57.757	55.3783	24.8492	23.7321	24.3201	25.1676	23.0929
"ACLY"	63.9125	70.1296	65.7351	65.5701	65.9377	24.9348	25.9868	24.6643	25.1276	23.3978
"ACMSD"	0.0200341	0.0221526	0	0	0.0139674	0.0186865	0.00897974	0.00902546	0	0
"ACN9"	11.6215	10.4655	11.0161	11.7774	11.043	3.38695	3.31232	3.54742	3.44142	3.65479
"ACO1"	18.8881	17.7808	17.7931	18.3368	18.5002	7.23024	7.62877	7.35812	6.90454	7.23549
"ACO2"	26.729	32.0619	28.6903	27.8287	30.0873	69.9908	73.6073	68.4388	70.1708	65.9492
"ACOT1"	6.43671	6.74385	6.7583	6.92885	5.48146	5.27386	5.67044	5.32493	5.04194	4.56311
"ACOT11"	0.577758	0.741364	0.650745	0.604723	0.835689	1.03181	1.08747	0.949566	0.853919	0.92358
"ACOT12"	0.101618	0.0855846	0.0784681	0.122806	0.0827242	0.0167016	0.0160063	0.0428542	0	0.0290907
"ACOT13"	7.89939	7.06627	7.69933	7.90167	7.46238	5.31225	5.24952	5.68639	5.4369	5.52603
"ACOT2"	11.015	10.5757	10.083	11.2354	12.0148	5.7261	5.78152	5.61373	5.47529	5.55963
"ACOT4"	0.979937	1.02348	1.0001	0.959054	0.896232	1.50809	1.69232	1.75308	1.45163	1.62894
"ACOT6"	0.0904713	0.157655	0.0639942	0.0854998	0.0362397	0.241361	0.383537	0.420865	0.403356	0.126972
"ACOT7"	31.1646	41.5324	37.3327	35.7712	40.311	65.0361	69.4757	66.3673	66.5512	66.5037
"ACOT8"	8.57285	13.1029	11.3744	10.0073	11.4887	13.6599	14.9972	14.2571	14.5768	12.7805
"ACOT9"	18.2601	16.1299	16.6387	18.6845	16.2459	5.52125	5.2775	5.25745	5.36904	5.39076
"ACOX1"	7.55095	7.04351	6.86508	7.29914	6.59294	6.79425	6.58399	7.16921	6.96901	6.53313
"ACOX2"	2.06101	2.22314	2.05267	2.1144	1.75073	0.966559	1.08457	0.979332	0.943295	0.997716
"ACOX3"	3.18637	3.44052	3.18747	3.35595	3.81907	2.67147	2.92173	2.67485	2.85651	2.6817
"ACOXL"	0.182853	0.114185	0.25117	0.0811496	0.150176	0.00460098	0.0132187	0.0221132	0.0105274	0.0320238
"ACP1"	79.8467	76.9869	79.2135	82.9506	76.5822	30.6197	31.7367	34.4144	31.8338	32.3769
"ACP2"	10.5516	11.5591	11.4885	10.7359	11.9778	11.2188	11.5057	11.3566	11.2097	10.7698
"ACP5"	6.11988	6.75345	6.86696	6.55222	6.55172	0.398931	0.334777	0.373697	0.373544	0.432893
"ACP6"	8.27754	8.4609	8.55909	8.41792	8.60202	1.76097	1.33889	1.44562	1.69208	1.55074
"ACPL2"	8.45286	7.50687	7.6342	7.93746	7.77886	5.21481	5.31584	5.20298	5.19051	4.96337
"ACPP"	0.328592	0.234207	0.232225	0.333009	0.302375	0.114788	0.063864	0.156181	0.0573917	0.123837
"ACPT"	0.0276027	0	0	0.007583	0.0128099	0.0171589	0	0.00828104	0.0197079	0
"ACR"	0.0722122	0.0697992	0.133644	0.11901	0.175882	0.345069	0.177831	0.292399	0.222295	0.264648
"ACRBP"	0.601685	0.753616	0.571765	0.666424	0.491168	0.725641	0.752157	0.596242	0.75689	0.688709
"ACRC"	0.757696	0.669246	0.599652	0.767032	0.699353	0.914235	0.713342	0.774045	0.763254	0.609726
"ACRV1"	0.330327	0.305163	0.230333	0.293737	0.274541	0.410251	0.670319	0.494682	0.486619	0.509183
"ACSBG1"	0.502599	0.511683	0.446741	0.426415	0.406462	11.4423	12.2633	12.216	11.5125	10.7858
"ACSBG2"	0.0900147	0.0377045	0.0702364	0.0844125	0.0413945	0.0997423	0.0840194	0.122644	0.109479	0.0693789
"ACSF2"	13.213	13.5116	13.0251	13.4367	12.184	4.0895	4.10961	3.97458	3.86724	3.66988
"ACSF3"	5.07345	5.92588	5.58642	5.31339	6.31311	3.26425	3.33183	3.15566	3.06362	3.11074
"ACSL1"	9.14209	8.70082	8.65409	8.66173	9.32425	14.97	14.1073	15.0717	14.1341	14.7963
"ACSL3"	35.6893	30.8758	32.3318	33.9768	37.0235	22.697	22.5788	23.5786	22.5712	26.605
"ACSL4"	29.4227	25.1564	26.847	27.6941	31.1947	12.9841	11.9319	13.3285	12.2704	13.7178
"ACSL5"	6.68177	6.39703	6.14234	6.4155	5.90683	3.30836	3.10097	3.45974	3.08354	3.28222
"ACSL6"	0.253063	0.250516	0.230491	0.246248	0.223907	23.9757	24.1952	25.7709	23.9491	23.7584
"ACSM1"	0.323788	0.413839	0.369953	0.408556	0.271959	0.0807695	0.0825559	0.0984224	0.04932	0.0750169
"ACSM2A"	0.23215	0.171536	0.172561	0.216026	0.295839	0	0	0.00348683	0	0
"ACSM2B"	0.411471	0.562509	0.550822	0.465732	0.516481	0	0	0	0	0
"ACSM3"	32.1349	28.6172	29.5058	32.457	30.1892	0.0670902	0.131463	0.0719722	0.127009	0.134778
"ACSM4"	0.00690438	0	0	0	0	0.00643261	0	0	0.00737249	0
"ACSM5"	0.2566	0.292947	0.333349	0.282199	0.307563	0.797787	0.897766	0.801448	0.80434	0.69795
"ACSS1"	6.35442	7.17551	7.15007	6.66961	6.62697	11.4108	11.7174	11.1378	11.3873	10.1916
"ACSS2"	20.4008	21.353	19.7351	20.7632	18.0704	11.3606	11.7518	11.8956	11.3708	10.9581
"ACSS3"	5.01905	4.75016	4.85579	4.65381	4.93927	2.6508	2.53658	2.4602	2.55965	2.68566
"ACTA1"	0.574138	0.588451	0.566311	0.499771	0.569894	0.519872	0.52836	0.530791	0.622866	0.373657
"ACTA2"	7.24944	6.97597	6.93541	7.05238	5.44819	24.7398	25.8183	24.9738	26.3087	21.2518
"ACTB"	1594.9	1859.42	1754.9	1803.56	1869.1	948.698	980.75	929.734	962.607	957.92
"ACTBL2"	0.083063	0.0958847	0.108872	0.115853	0.0859235	0	0.0036998	0	0	0
"ACTC1"	0.309741	0.343576	0.268728	0.256425	0.294201	0.616692	0.611877	0.591735	0.543054	0.460506
"ACTG1"	1153.11	1332.1	1277.51	1242.47	1389.91	396.496	409.527	399.265	404.907	409.665
"ACTG2"	5.11945	6.0143	5.65915	6.39556	5.14332	2.44378	2.67383	2.664	2.41444	1.95237
"ACTL6A"	43.4667	39.0326	40.8534	43.6801	41.2127	3.75257	3.6162	3.60201	3.74651	3.89059
"ACTL6B"	0.0239078	0.0439711	0.0130985	0.00656068	0.0110697	30.1747	32.9615	31.0201	31.3413	24.4662
"ACTL7A"	0.0171621	0.0189501	0.0846676	0.00706821	0	0	0.00768062	0.00771674	0.0183654	0
"ACTL7B"	0	0	0	0.00721632	0	0	0	0	0	0
"ACTL8"	2.19783	2.7474	2.48957	2.7737	2.37658	0.04789	0.0573883	0.0460999	0.0411473	0.0417252
"ACTL9"	0	0	0	0	0	0	0	0	0	0
"ACTN1"	57.8823	64.9863	61.6691	57.3291	66.6691	21.5142	22.1569	21.4543	21.6363	21.8451
"ACTN2"	0.218003	0.176025	0.184493	0.186808	0.199845	9.06564	8.8532	9.21349	8.36481	8.58611
"ACTN3"	0.0486752	0.075803	0.026581	0.0532425	0.0447488	0.0453019	0.0578099	0.0725145	0.0517849	0.0328169
"ACTN4"	55.0943	72.3511	67.3594	56.0517	92.501	32.3453	33.042	30.4218	31.8398	37.3744
"ACTR10"	16.8108	15.3232	15.8225	16.8154	15.9372	24.2607	23.5819	25.4042	24.9967	25.6593
"ACTR1A"	33.7873	35.5674	34.7474	34.4229	30.5795	61.0801	63.2309	61.8419	60.8495	54.2382
"ACTR1B"	22.4811	29.3103	28.2668	25.0797	28.3811	46.5304	48.5416	46.6525	46.2122	43.1477
"ACTR2"	70.5631	59.51	66.2946	68.0111	73.4917	54.2315	53.4924	57.0344	54.9134	61.9433
"ACTR3"	58.2824	51.3252	56.0276	57.047	58.7831	28.9691	27.5393	30.6035	28.9617	31.9559
"ACTR3B"	7.24934	6.83138	6.95159	7.17956	7.38748	14.6532	15.083	14.6884	15.0194	15.4674
"ACTR3BP2"	0	0	0	0.00764124	0	0	0	0	0	0
"ACTR3BP5"	0	0	0	0	0	0	0	0.0066069	0	0
"ACTR3C"	1.51774	1.32133	1.29075	1.36278	1.05785	1.75624	1.78685	1.58423	1.75219	1.63579
"ACTR5"	5.9144	6.40726	6.26213	6.09571	6.30354	2.59047	2.58974	2.66885	2.63656	2.52827
"ACTR6"	16.0076	12.8676	14.9377	15.8702	14.8181	17.365	15.4768	18.4351	17.1722	18.9755
"ACTR8"	6.26348	5.70097	6.11081	6.0706	5.59083	4.81464	4.89993	5.03699	4.86536	5.13531
"ACTRT1"	0	0	0	0	0	0.0158869	0	0	0	0
"ACTRT2"	0	0	0	0	0	0	0.007748	0	0	0
"ACVR1"	7.63491	6.98738	7.04226	7.23747	6.83191	5.42169	5.31938	5.25114	5.27694	5.29597
